Weather_ID,Weather_Key 
9138,11/15/2016 7:12
9139,11/15/2016 7:20
9140,11/15/2016 7:51
9141,11/15/2016 8:18
9142,11/15/2016 8:40
9143,11/15/2016 8:51
9144,11/15/2016 9:10
9145,11/15/2016 9:25
9146,11/15/2016 9:39
9147,11/15/2016 9:49
9148,11/15/2016 9:51
9149,11/15/2016 10:31
9150,11/15/2016 10:35
9151,11/15/2016 10:46
9152,11/15/2016 10:51
9153,11/15/2016 11:11
9154,11/15/2016 11:34
9155,11/15/2016 11:44
9156,11/15/2016 11:51
9157,11/15/2016 12:03
9158,11/15/2016 12:13
9159,11/15/2016 12:27
9160,11/15/2016 12:35
9161,11/15/2016 12:51
9162,11/15/2016 13:18
9163,11/15/2016 13:51
9164,11/15/2016 14:36
9165,11/15/2016 14:51
9166,11/15/2016 15:44
9167,11/15/2016 15:51
9168,11/15/2016 16:35
9169,11/15/2016 16:51
9170,11/15/2016 17:51
9171,11/15/2016 18:51
9172,11/15/2016 19:51
9173,11/15/2016 20:51
9174,11/15/2016 21:29
9175,11/15/2016 21:51
9176,11/15/2016 22:51
9177,11/15/2016 23:51
9178,11/16/2016 0:51
9179,11/16/2016 1:40
9180,11/16/2016 1:51
9181,11/16/2016 2:51
9182,11/16/2016 3:51
9183,11/16/2016 4:51
9184,11/16/2016 5:51
9185,11/16/2016 6:51
9186,11/16/2016 7:51
9187,11/16/2016 8:51
9188,11/16/2016 9:51
9189,11/16/2016 10:51
9190,11/16/2016 11:51
9191,11/16/2016 12:51
9192,11/16/2016 13:51
9193,11/16/2016 14:51
9194,11/16/2016 15:51
9195,11/16/2016 16:51
9196,11/16/2016 17:51
9197,11/16/2016 18:51
9198,11/16/2016 19:51
9199,11/16/2016 20:51
9200,11/16/2016 21:51
9201,11/16/2016 22:51
9202,11/16/2016 23:51
9203,11/17/2016 0:51
9204,11/17/2016 1:51
9205,11/17/2016 2:51
9206,11/17/2016 3:51
9207,11/17/2016 4:51
9208,11/17/2016 5:51
9209,11/17/2016 6:51
9210,11/17/2016 7:51
9211,11/17/2016 8:51
9212,11/17/2016 9:51
9213,11/17/2016 10:51
9214,11/17/2016 11:51
9215,11/17/2016 12:51
9216,11/17/2016 13:51
9217,11/17/2016 14:51
9218,11/17/2016 15:51
9219,11/17/2016 16:51
9220,11/17/2016 17:51
9221,11/17/2016 18:51
9222,11/17/2016 19:51
9223,11/17/2016 20:51
9224,11/17/2016 21:51
9225,11/17/2016 22:51
9226,11/17/2016 23:51
9227,11/18/2016 0:51
9228,11/18/2016 1:51
9229,11/18/2016 2:51
9230,11/18/2016 3:51
9231,11/18/2016 4:51
9232,11/18/2016 5:51
9233,11/18/2016 6:51
9234,11/18/2016 7:51
9235,11/18/2016 8:51
9236,11/18/2016 9:51
9237,11/18/2016 10:51
9238,11/18/2016 11:51
9239,11/18/2016 12:51
9240,11/18/2016 14:51
9241,11/18/2016 15:51
9242,11/18/2016 16:51
9243,11/18/2016 17:51
9244,11/18/2016 18:51
9245,11/18/2016 19:51
9246,11/18/2016 20:51
9247,11/18/2016 21:51
9248,11/18/2016 22:51
9249,11/18/2016 23:51
9250,11/19/2016 0:51
9251,11/19/2016 1:51
9252,11/19/2016 2:51
9253,11/19/2016 3:51
9254,11/19/2016 4:51
9255,11/19/2016 5:51
9256,11/19/2016 6:51
9257,11/19/2016 7:51
9258,11/19/2016 8:51
9259,11/19/2016 9:51
9260,11/19/2016 10:51
9261,11/19/2016 11:51
9262,11/19/2016 12:51
9263,11/19/2016 13:51
9264,11/19/2016 14:51
9265,11/19/2016 15:51
9266,11/19/2016 16:13
9267,11/19/2016 16:27
9268,11/19/2016 16:51
9269,11/19/2016 17:05
9270,11/19/2016 17:51
9271,11/19/2016 18:51
9272,11/19/2016 18:59
9273,11/19/2016 19:51
9274,11/19/2016 20:51
9275,11/19/2016 21:07
9276,11/19/2016 21:15
9277,11/19/2016 21:43
9278,11/19/2016 21:49
9279,11/19/2016 21:51
9280,11/19/2016 22:05
9281,11/19/2016 22:15
9282,11/19/2016 22:35
9283,11/19/2016 22:51
9284,11/19/2016 23:39
9285,11/19/2016 23:51
9286,11/20/2016 0:12
9287,11/20/2016 0:23
9288,11/20/2016 0:51
9289,11/20/2016 1:04
9290,11/20/2016 1:25
9291,11/20/2016 1:43
9292,11/20/2016 1:51
9293,11/20/2016 2:24
9294,11/20/2016 2:48
9295,11/20/2016 2:51
9296,11/20/2016 3:33
9297,11/20/2016 3:47
9298,11/20/2016 3:51
9299,11/20/2016 4:02
9300,11/20/2016 4:51
9301,11/20/2016 5:51
9302,11/20/2016 6:51
9303,11/20/2016 7:51
9304,11/20/2016 8:51
9305,11/20/2016 9:51
9306,11/20/2016 10:51
9307,11/20/2016 11:51
9308,11/20/2016 12:51
9309,11/20/2016 13:51
9310,11/20/2016 14:51
9311,11/20/2016 15:51
9312,11/20/2016 16:51
9313,11/20/2016 17:51
9314,11/20/2016 18:51
9315,11/20/2016 19:51
9316,11/20/2016 20:51
9317,11/20/2016 21:51
9318,11/20/2016 22:51
9319,11/20/2016 23:51
9320,11/21/2016 0:51
9321,11/21/2016 1:51
9322,11/21/2016 2:51
9323,11/21/2016 3:51
9324,11/21/2016 4:51
9325,11/21/2016 5:51
9326,11/21/2016 6:51
9327,11/21/2016 7:51
9328,11/21/2016 8:51
9329,11/21/2016 9:51
9330,11/21/2016 10:51
9331,11/21/2016 11:51
9332,11/21/2016 12:51
9333,11/21/2016 13:51
9334,11/21/2016 14:51
9335,11/21/2016 15:51
9336,11/21/2016 16:51
9337,11/21/2016 17:51
9338,11/21/2016 18:25
9339,11/21/2016 18:51
9340,11/21/2016 19:51
9341,11/21/2016 20:51
9342,11/21/2016 21:51
9343,11/21/2016 22:51
9344,11/21/2016 23:51
9345,11/22/2016 0:51
9346,11/22/2016 1:51
9347,11/22/2016 2:51
9348,11/22/2016 3:51
9349,11/22/2016 4:51
9350,11/22/2016 5:51
9351,11/22/2016 6:51
9352,11/22/2016 7:51
9353,11/22/2016 8:51
9354,11/22/2016 9:18
9355,11/22/2016 9:51
9356,11/22/2016 10:51
9357,11/22/2016 11:28
9358,11/22/2016 11:51
9359,11/22/2016 12:51
9360,11/22/2016 13:51
9361,11/22/2016 14:51
9362,11/22/2016 15:51
9363,11/22/2016 16:51
9364,11/22/2016 17:51
9365,11/22/2016 18:51
9366,11/22/2016 19:51
9367,11/22/2016 20:51
9368,11/22/2016 21:51
9369,11/22/2016 22:51
9370,11/22/2016 23:51
9371,11/23/2016 0:51
9372,11/23/2016 1:51
9373,11/23/2016 2:51
9374,11/23/2016 3:51
9375,11/23/2016 4:51
9376,11/23/2016 5:51
9377,11/23/2016 6:51
9378,11/23/2016 7:51
9379,11/23/2016 8:51
9380,11/23/2016 9:51
9381,11/23/2016 10:51
9382,11/23/2016 11:51
9383,11/23/2016 12:51
9384,11/23/2016 13:51
9385,11/23/2016 14:51
9386,11/23/2016 15:51
9387,11/23/2016 16:51
9388,11/23/2016 17:51
9389,11/23/2016 18:51
9390,11/23/2016 19:51
9391,11/23/2016 20:51
9392,11/23/2016 21:51
9393,11/23/2016 22:51
9394,11/23/2016 23:51
9395,11/24/2016 0:51
9396,11/24/2016 1:51
9397,11/24/2016 2:51
9398,11/24/2016 3:51
9399,11/24/2016 4:51
9400,11/24/2016 5:51
9401,11/24/2016 6:51
9402,11/24/2016 7:51
9403,11/24/2016 8:51
9404,11/24/2016 9:51
9405,11/24/2016 10:51
9406,11/24/2016 11:51
9407,11/24/2016 12:51
9408,11/24/2016 13:51
9409,11/24/2016 14:51
9410,11/24/2016 15:51
9411,11/24/2016 16:51
9412,11/24/2016 17:51
9413,11/24/2016 18:51
9414,11/24/2016 19:51
9415,11/24/2016 20:51
9416,11/24/2016 21:51
9417,11/24/2016 22:51
9418,11/24/2016 23:48
9419,11/24/2016 23:51
9420,11/25/2016 0:51
9421,11/25/2016 1:51
9422,11/25/2016 2:51
9423,11/25/2016 3:51
9424,11/25/2016 4:51
9425,11/25/2016 5:51
9426,11/25/2016 6:51
9427,11/25/2016 7:51
9428,11/25/2016 8:51
9429,11/25/2016 9:51
9430,11/25/2016 10:51
9431,11/25/2016 11:51
9432,11/25/2016 12:51
9433,11/25/2016 13:51
9434,11/25/2016 14:51
9435,11/25/2016 15:51
9436,11/25/2016 16:25
9437,11/25/2016 16:51
9438,11/25/2016 17:51
9439,11/25/2016 18:51
9440,11/25/2016 19:51
9441,11/25/2016 20:51
9442,11/25/2016 21:51
9443,11/25/2016 22:51
9444,11/25/2016 23:51
9445,11/26/2016 0:51
9446,11/26/2016 1:51
9447,11/26/2016 2:51
9448,11/26/2016 3:51
9449,11/26/2016 4:51
9450,11/26/2016 5:51
9451,11/26/2016 6:51
9452,11/26/2016 7:18
9453,11/26/2016 7:51
9454,11/26/2016 8:51
9455,11/26/2016 9:51
9456,11/26/2016 10:51
9457,11/26/2016 11:51
9458,11/26/2016 12:51
9459,11/26/2016 13:51
